id,item,class,descr,points
139,Gengarite,Mega,"Turns Gengar into Mega Gengar",20
138,Gardevoirite,Mega,"Turns Gardevoir into Mega Gardevoir",3
108,Ampharosite,Mega,"Turns Ampharos into Mega Ampharos",4
181,Venusaurite,Mega,"Turns Venusaur into Mega Venusaur",3
118,"Charizardite X",Mega,"Turns Charizard X into Mega Charizard X",3
114,Blastoisinite,Mega,"Turns Blastoisin into Mega Blastoisin",20
5,"Mewtwonite X",Mega,"Turns Mewtwon X into Mega Mewtwon X",20
7,"Mewtwonite Y",Mega,"Turns Mewtwon Y into Mega Mewtwon Y",20
115,Blazikenite,Mega,"Turns Blaziken into Mega Blaziken",20
156,Medichamite,Mega,"Turns Medicham into Mega Medicham",4
148,Houndoominite,Mega,"Turns Houndoomin into Mega Houndoomin",4
105,Aggronite,Mega,"Turns Aggron into Mega Aggron",6
110,Banettite,Mega,"Turns Banett into Mega Banett",3
180,Tyranitarite,Mega,"Turns Tyranitar into Mega Tyranitar",9
168,Scizorite,Mega,"Turns Scizor into Mega Scizor",1
161,Pinsirite,Mega,"Turns Pinsir into Mega Pinsir",1
104,Aerodactylite,Mega,"Turns Aerodactyl into Mega Aerodactyl",3
151,Lucarionite,Mega,"Turns Lucarion into Mega Lucarion",2
101,Abomasite,Mega,"Turns Abomas into Mega Abomas",4
149,Kangaskhanite,Mega,"Turns Kangaskhan into Mega Kangaskhan",4
145,Gyaradosite,Mega,"Turns Gyarados into Mega Gyarados",3
102,Absolite,Mega,"Turns Absol into Mega Absol",3
119,"Charizardite Y",Mega,"Turns Charizard Y into Mega Charizard Y",4
106,Alakazite,Mega,"Turns Alakaz into Mega Alakaz",3
147,Heracronite,Mega,"Turns Heracron into Mega Heracron",6
155,Mawilite,Mega,"Turns Mawil into Mega Mawil",13
154,Manectite,Mega,"Turns Manect into Mega Manect",3
136,Garchompite,Mega,"Turns Garchomp into Mega Garchomp",1
9,Latiasite,Mega,"Turns Latias into Mega Latias",2
8,Latiosite,Mega,"Turns Latios into Mega Latios",2
178,Swampertite,Mega,"Turns Swampert into Mega Swampert",9
167,Sceptilite,Mega,"Turns Sceptil into Mega Sceptil",2
165,Sablenite,Mega,"Turns Sablen into Mega Sablen",6
107,Altarianite,Mega,"Turns Altarian into Mega Altarian",12
135,Galladite,Mega,"Turns Gallad into Mega Gallad",6
109,Audinite,Mega,"Turns Audin into Mega Audin",2
159,Metagrossite,Mega,"Turns Metagross into Mega Metagross",4
172,Sharpedonite,Mega,"Turns Sharpedon into Mega Sharpedon",2
174,Slowbronite,Mega,"Turns Slowbron into Mega Slowbron",2
177,Steelixite,Mega,"Turns Steelix into Mega Steelix",5
160,Pidgeotite,Mega,"Turns Pidgeot into Mega Pidgeot",2
140,Glalitite,Mega,"Turns Glalit into Mega Glalit",1
3,Diancite,Mega,"Turns Dianc into Mega Dianc",3
116,Cameruptite,Mega,"Turns Camerupt into Mega Camerupt",3
150,Lopunnite,Mega,"Turns Lopunn into Mega Lopunn",10
166,Salamencite,Mega,"Turns Salamenc into Mega Salamenc",5
113,Beedrillite,Mega,"Turns Beedrill into Mega Beedrill",3
122,Clefablite,Mega,"Turns Clefabl into Mega Clefabl",20
182,Victreebelite,Mega,"Turns Victreebel into Mega Victreebel",20
176,Starminite,Mega,"Turns Starmin into Mega Starmin",20
127,Dragoninite,Mega,"Turns Dragonin into Mega Dragonin",20
157,Meganiumite,Mega,"Turns Meganium into Mega Meganium",20
133,Feraligite,Mega,"Turns Feralig into Mega Feralig",20
173,Skarmorite,Mega,"Turns Skarmor into Mega Skarmor",20
134,Froslassite,Mega,"Turns Froslass into Mega Froslass",20
10,Heatranite,Mega,"Turns Heatran into Mega Heatran",20
2,Darkranite,Mega,"Turns Darkran into Mega Darkran",20
130,Emboarite,Mega,"Turns Emboar into Mega Emboar",20
131,Excadrite,Mega,"Turns Excadr into Mega Excadr",20
169,Scolipite,Mega,"Turns Scolip into Mega Scolip",20
171,Scraftinite,Mega,"Turns Scraftin into Mega Scraftin",20
129,Eelektrossite,Mega,"Turns Eelektross into Mega Eelektross",20
117,Chandelurite,Mega,"Turns Chandelur into Mega Chandelur",20
120,Chesnaughtite,Mega,"Turns Chesnaught into Mega Chesnaught",20
125,Delphoxite,Mega,"Turns Delphox into Mega Delphox",20
144,Greninjite,Mega,"Turns Greninj into Mega Greninj",20
162,Pyroarite,Mega,"Turns Pyroar into Mega Pyroar",20
4,Floettite,Mega,"Turns Floett into Mega Floett",20
153,Malamarite,Mega,"Turns Malamar into Mega Malamar",20
111,Barbaracite,Mega,"Turns Barbarac into Mega Barbarac",20
126,Dragalgite,Mega,"Turns Dragalg into Mega Dragalg",20
146,Hawluchanite,Mega,"Turns Hawluchan into Mega Hawluchan",20
11,Zygardite,Mega,"Turns Zygard into Mega Zygard",20
128,Drampanite,Mega,"Turns Drampan into Mega Drampan",20
12,Zeraorite,Mega,"Turns Zeraor into Mega Zeraor",20
132,Falinksite,Mega,"Turns Falinks into Mega Falinks",20
163,"Raichunite X",Mega,"Turns Raichun X into Mega Raichun X",20
164,"Raichunite Y",Mega,"Turns Raichun Y into Mega Raichun Y",20
121,Chimechite,Mega,"Turns Chimech into Mega Chimech",20
103,"Absolite Z",Mega,"Turns Absol Z into Mega Absol Z",20
175,Staraptite,Mega,"Turns Starapt into Mega Starapt",20
137,"Garchompite Z",Mega,"Turns Garchomp Z into Mega Garchomp Z",20
152,"Lucarionite Z",Mega,"Turns Lucarion Z into Mega Lucarion Z",20
143,Golurkite,Mega,"Turns Golurk into Mega Golurk",20
158,Meowsticite,Mega,"Turns Meowstic into Mega Meowstic",20
124,Crabominite,Mega,"Turns Crabomin into Mega Crabomin",20
142,Golisopite,Mega,"Turns Golisop into Mega Golisop",20
6,Magearnite,Mega,"Turns Magearn into Mega Magearn",20
170,Scovillainite,Mega,"Turns Scovillain into Mega Scovillain",20
112,Baxcalibrite,Mega,"Turns Baxcalibr into Mega Baxcalibr",20
179,Tatsugirinite,Mega,"Turns Tatsugirin into Mega Tatsugirin",20
141,Glimmoranite,Mega,"Turns Glimmoran into Mega Glimmoran",20
13,Speedorite,Transformation,"Allows Deoxys to become Deoxys-Speed",1
15,Attackorite,Transformation,"Allows Deoxys to become Deoxys-Attack",1
16,Defendorite,Transformation,"Allows Deoxys to become Deoxys-Defense",1
18,"Ash's Cap",Transformation,"Allows Pikachu to turn into Cap Pikachu",1
17,Ditto,Transformation,"Allows Manaphy to turn into Phione",1
210,"Partner Core",Transformation,"Allows Pikachu to turn into Partner Pikachu",3
209,"Rock Star Suit",Transformation,"Allows Pikachu to turn into Rock Star Pikachu",1
200,"Belle Suit",Transformation,"Allows Pikachu to turn into Belle Suit Pikachu",1
208,"Pop Star Suit",Transformation,"Allows Pikachu to turn into Pop StarPikachu",1
207,"PH.D Suit",Transformation,"Allows Pikachu to turn into PH.D Pikachu",1
206,"Libre Suit",Transformation,"Allows Pikachu to turn into Pikachu Libre",1
19,"Prison Bottle",Transformation,"Allows Hoopa to turn into Hoopa-Unbound",3
20,Gracidea,Transformation,"Allows Shaymin to turn into Shaymin-Sky",1
21,"Reveal Glass",Transformation,"Allows Tornadus, Thundurus, Landorus, and Enamorus to turn  into their therian forms",3
22,"Zygarde Core",Transformation,"Allows any Zygarde form to use the ability Power Construct",10
23,"Wellspring Mask",Transformation,"Allows Ogerpon to become Ogerpon Wellspring",2
24,"Hearthflame Mask",Transformation,"Allows Ogerpon to become Ogerpon Hearthflame ",2
25,"Cornerstone Mask",Transformation,"Allows Ogerpon to become Ogerpon Cornerstone ",2
203,Microwave,Transformation,"Allows Rotom to become Rotom Heat ",1
204,Refridgator,Transformation,"Allows Rotom to become Rotom Fridge ",1
201,Fan,Transformation,"Allows Rotom to become Rotom Fan ",0
204,Lawmower,Transformation,"Allows Rotom to become Rotom Mow ",1
205,"Washing Machine",Transformation,"Allows Rotom to become Rotom Wash",3
30,"Silvally Memory Disk Bundle 1",Transformation,"Allows Silvally to use the following types: Steel, Flying, Electric, Grass",3
31,"Silvally Memory Disk Bundle 2",Transformation,"Allows Silvally to use the following types: Fairy, Poison, Fire, Ice",3
32,"Silvally Memory Disk Bundle 3",Transformation,"Allows Silvally to use the following types: Ground, Dark, Dragon, Rock",3
33,"Silvally Memory Disk Bundle 4",Transformation,"Allows Silvally to use the following types: Ghost, Water, Fighting, Psychic",3
