id,item,descr,points
1,Speedorite,"Allows Deoxys to become Deoxys-Speed",1
2,Latiosite,"Turns Latios into Mega Latios",2
3,Latiasite,"Turns Latias into Mega Latias",2
4,Floettite,"Turns Floett into Mega Floett",20
5,Gracidea,"Allows Shaymin to turn into Shaymin-Sky",1
6,Ditto,"Allows Manaphy to turn into Phione",1
7,"Mewtwonite X","Turns Mewtwon X into Mega Mewtwon X",20
8,"Mewtwonite Y","Turns Mewtwon Y into Mega Mewtwon Y",20
9,Diancite,"Turns Dianc into Mega Dianc",3
10,Defendorite,"Allows Deoxys to become Deoxys-Defense",1
11,Darkranite,"Turns Darkran into Mega Darkran",20
12,Attackorite,"Allows Deoxys to become Deoxys-Attack",1
13,"Ash's Cap","Allows Pikachu to turn into Cap Pikachu",1
14,"Silvally Memory Disk Bundle 4","Allows Silvally to use the following types: Ghost, Water, Fighting, Psychic",3
15,"Silvally Memory Disk Bundle 3","Allows Silvally to use the following types: Ground, Dark, Dragon, Rock",3
16,"Silvally Memory Disk Bundle 2","Allows Silvally to use the following types: Fairy, Poison, Fire, Ice",3
17,"Silvally Memory Disk Bundle 1","Allows Silvally to use the following types: Steel, Flying, Electric, Grass",3
18,"Cornerstone Mask","Allows Ogerpon to become Ogerpon Cornerstone ",2
19,"Hearthflame Mask","Allows Ogerpon to become Ogerpon Hearthflame ",2
20,"Wellspring Mask","Allows Ogerpon to become Ogerpon Wellspring",2
21,"Zygarde Core","Allows any Zygarde form to use the ability Power Construct",10
22,"Reveal Glass","Allows Tornadus, Thundurus, Landorus, and Enamorus to turn  into their therian forms",3
23,"Prison Bottle","Allows Hoopa to turn into Hoopa-Unbound",3
56,Heatranite,"Turns Heatran into Mega Heatran",20
73,Zygardite,"Turns Zygard into Mega Zygard",20
75,Zeraorite,"Turns Zeraor into Mega Zeraor",20
88,Magearnite,"Turns Magearn into Mega Magearn",20
98,"Partner Core","Allows Pikachu to turn into Partner Pikachu",3
100,Abomasite,"Turns Abomas into Mega Abomas",4
101,Absolite,"Turns Absol into Mega Absol",3
102,"Absolite Z","Turns Absol Z into Mega Absol Z",20
103,Aerodactylite,"Turns Aerodactyl into Mega Aerodactyl",3
104,Aggronite,"Turns Aggron into Mega Aggron",6
105,Alakazite,"Turns Alakaz into Mega Alakaz",3
106,Altarianite,"Turns Altarian into Mega Altarian",12
107,Ampharosite,"Turns Ampharos into Mega Ampharos",4
108,Audinite,"Turns Audin into Mega Audin",2
109,Banettite,"Turns Banett into Mega Banett",3
110,Barbaracite,"Turns Barbarac into Mega Barbarac",20
111,Baxcalibrite,"Turns Baxcalibr into Mega Baxcalibr",20
112,Beedrillite,"Turns Beedrill into Mega Beedrill",3
113,Blastoisinite,"Turns Blastoisin into Mega Blastoisin",20
114,Blazikenite,"Turns Blaziken into Mega Blaziken",20
115,Cameruptite,"Turns Camerupt into Mega Camerupt",3
116,Chandelurite,"Turns Chandelur into Mega Chandelur",20
117,"Charizardite X","Turns Charizard X into Mega Charizard X",3
118,"Charizardite Y","Turns Charizard Y into Mega Charizard Y",4
119,Chesnaughtite,"Turns Chesnaught into Mega Chesnaught",20
120,Chimechite,"Turns Chimech into Mega Chimech",20
121,Clefablite,"Turns Clefabl into Mega Clefabl",20
122,Crabominite,"Turns Crabomin into Mega Crabomin",20
123,Delphoxite,"Turns Delphox into Mega Delphox",20
124,Dragalgite,"Turns Dragalg into Mega Dragalg",20
125,Dragoninite,"Turns Dragonin into Mega Dragonin",20
126,Drampanite,"Turns Drampan into Mega Drampan",20
127,Eelektrossite,"Turns Eelektross into Mega Eelektross",20
128,Emboarite,"Turns Emboar into Mega Emboar",20
129,Excadrite,"Turns Excadr into Mega Excadr",20
130,Falinksite,"Turns Falinks into Mega Falinks",20
131,Feraligite,"Turns Feralig into Mega Feralig",20
132,Froslassite,"Turns Froslass into Mega Froslass",20
133,Galladite,"Turns Gallad into Mega Gallad",6
134,Garchompite,"Turns Garchomp into Mega Garchomp",1
135,"Garchompite Z","Turns Garchomp Z into Mega Garchomp Z",20
136,Gardevoirite,"Turns Gardevoir into Mega Gardevoir",3
137,Gengarite,"Turns Gengar into Mega Gengar",20
138,Glalitite,"Turns Glalit into Mega Glalit",1
139,Glimmoranite,"Turns Glimmoran into Mega Glimmoran",20
140,Golisopite,"Turns Golisop into Mega Golisop",20
141,Golurkite,"Turns Golurk into Mega Golurk",20
142,Greninjite,"Turns Greninj into Mega Greninj",20
143,Gyaradosite,"Turns Gyarados into Mega Gyarados",3
144,Hawluchanite,"Turns Hawluchan into Mega Hawluchan",20
145,Heracronite,"Turns Heracron into Mega Heracron",6
