NamePoke,OwnedBy,Favorited,PointValue,Score,Diff,Kills,Death,Wins,GamesPlayed
Bulbasaur,,,0,,,,,,
Ivysaur,,,0,,,,,,
Venusaur,,,16,,,,,,
Charmander,,,0,,,,,,
Charmeleon,,,0,,,,,,
Charizard,,,8,,,,,,
Squirtle,,,1,,,,,,
Wartortle,,,14,,,,,,
Blastoise,,,19,,,,,,
Caterpie,,,0,,,,,,
Metapod,,,0,,,,,,
Butterfree,,,3,,,,,,
Weedle,,,0,,,,,,
Kakuna,,,0,,,,,,
Beedrill,,,1,,,,,,
Pidgey,,,0,,,,,,
Pidgeotto,,,0,,,,,,
Pidgeot,,,1,,,,,,
Rattata,,,0,,,,,,
Raticate,,,0,,,,,,
spearow,,,0,,,,,,
Fearow,,,1,,,,,,
Ekans,,,0,,,,,,
Arbok,,,1,,,,,,
Pikachu,,,9,,,,,,
Raichu,,,10,,,,,,
Sandshrew,,,0,,,,,,
Sandslash,,,2,,,,,,
nidoran-f,,,0,,,,,,
nidorina,,,2,,,,,,
Nidoqueen,,,8,,,,,,
nidoran-m,,,0,,,,,,
nidorino,,,3,,,,,,
Nidoking,,,9,,,,,,
Clefairy,,,11,,,,,,
Clefable,,,11,,,,,,
Vulpix,,,2,,,,,,
Ninetales,,,12,,,,,,
Jigglypuff,,,0,,,,,,
Wigglytuff,,,1,,,,,,
zubat,,,0,,,,,,
Golbat,,,6,,,,,,
Oddish,,,0,,,,,,
Gloom,,,0,,,,,,
Vileplume,,,8,,,,,,
Paras,,,0,,,,,,
Parasect,,,4,,,,,,
venonat,,,0,,,,,,
Venomoth,,,4,,,,,,
Diglett,,,0,,,,,,
Dugtrio,,,4,,,,,,
Meowth,,,0,,,,,,
Persian,,,1,,,,,,
Psyduck,,,0,,,,,,
Golduck,,,7,,,,,,
Mankey,,,0,,,,,,
Primeape,,,5,,,,,,
Growlithe,,,0,,,,,,
Arcanine,,,15,,,,,,
Poliwag,,,0,,,,,,
Poliwhirl,,,0,,,,,,
Poliwrath,,,5,,,,,,
Abra,,,0,,,,,,
Kadabra,,,2,,,,,,
Alakazam,,,9,,,,,,
Machop,,,0,,,,,,
Machoke,,,2,,,,,,
Machamp,,,7,,,,,,
Bellsprout,,,0,,,,,,
weepinbell,,,0,,,,,,
Victreebel,,,9,,,,,,
tentacool,,,0,,,,,,
Tentacruel,,,3,,,,,,
Geodude,,,0,,,,,,
Graveler,,,0,,,,,,
Golem,,,2,,,,,,
Ponyta,,,0,,,,,,
Rapidash,,,2,,,,,,
slowpoke,,,0,,,,,,
slowbro,,,11,,,,,,
Magnemite,,,0,,,,,,
Magneton,,,2,,,,,,
Farfetch'd,,,0,,,,,,
Doduo,,,0,,,,,,
Dodrio,,,2,,,,,,
Seel,,,0,,,,,,
Dewgong,,,3,,,,,,
Grimer,,,0,,,,,,
Muk,,,3,,,,,,
Shellder,,,0,,,,,,
Cloyster,,,2,,,,,,
Gastly,,,0,,,,,,
Haunter,,,2,,,,,,
Gengar,,,9,,,,,,
Onix,,,0,,,,,,
Drowzee,,,0,,,,,,
Hypno,,,2,,,,,,
Krabby,,,0,,,,,,
Kingler,,,3,,,,,,
voltorb,,,0,,,,,,
Electrode,,,3,,,,,,
Exeggcute,,,0,,,,,,
Exeggutor,,,4,,,,,,
Cubone,,,0,,,,,,
Marowak,,,5,,,,,,
Hitmonlee,,,2,,,,,,
Hitmonchan,,,7,,,,,,
Lickitung,,,0,,,,,,
Koffing,,,0,,,,,,
Weezing,,,4,,,,,,
Rhyhorn,,,0,,,,,,
Rhydon,,,6,,,,,,
Chansey,,,4,,,,,,
Tangela,,,7,,,,,,
Kangaskhan,,,3,,,,,,
Horsea,,,0,,,,,,
Seadra,,,0,,,,,,
Goldeen,,,0,,,,,,
Seaking,,,0,,,,,,
staryu,,,0,,,,,,
Starmie,,,9,,,,,,
Mr. Mime,,,3,,,,,,
Scyther,,,3,,,,,,
Jynx,,,6,,,,,,
Electabuzz,,,5,,,,,,
Magmar,,,10,,,,,,
Pinsir,,,1,,,,,,
Tauros,,,6,,,,,,
Magikarp,,,0,,,,,,
Gyarados,,,12,,,,,,
Lapras,,,1,,,,,,
Ditto,,,5,,,,,,
Eevee,,,0,,,,,,
Vaporeon,,,7,,,,,,
Jolteon,,,5,,,,,,
Flareon,,,1,,,,,,
Porygon,,,0,,,,,,
Omanyte,,,0,,,,,,
Omastar,,,8,,,,,,
Kabuto,,,0,,,,,,
Kabutops,,,10,,,,,,
Aerodactyl,,,6,,,,,,
Snorlax,,,6,,,,,,
Articuno,,,2,,,,,,
Zapdos,,,16,,,,,,
Moltres,,,11,,,,,,
Dratini,,,0,,,,,,
Dragonair,,,2,,,,,,
Dragonite,,,11,,,,,,
Mewtwo,,,21,,,,,,
Mew,,,21,,,,,,
Chikorita,,,0,,,,,,
Bayleef,,,0,,,,,,
Meganium,,,1,,,,,,
Cyndaquil,,,0,,,,,,
Quilava,,,0,,,,,,
Typhlosion,,,6,,,,,,
totodile,,,0,,,,,,
Croconaw,,,0,,,,,,
Feraligatr,,,8,,,,,,
Sentret,,,0,,,,,,
Furret,,,1,,,,,,
Hoothoot,,,0,,,,,,
Noctowl,,,1,,,,,,
Ledyba,,,0,,,,,,
Ledian,,,0,,,,,,
spinarak,,,1,,,,,,
Ariados,,,1,,,,,,
Crobat,,,11,,,,,,
Chinchou,,,0,,,,,,
Lanturn,,,3,,,,,,
Pichu,,,0,,,,,,
Cleffa,,,0,,,,,,
Igglybuff,,,0,,,,,,
togepi,,,0,,,,,,
Togetic,,,8,,,,,,
Natu,,,0,,,,,,
Xatu,,,3,,,,,,
Mareep,,,0,,,,,,
Flaaffy,,,0,,,,,,
Ampharos,,,2,,,,,,
Bellossom,,,4,,,,,,
Marill,,,0,,,,,,
Azumarill,,,14,,,,,,
Sudowoodo,,,1,,,,,,
Politoed,,,17,,,,,,
Hoppip,,,0,,,,,,
Skiploom,,,0,,,,,,
Jumpluff,,,8,,,,,,
Aipom,,,1,,,,,,
Sunkern,,,0,,,,,,
sunflora,,,0,,,,,,
yanma,,,0,,,,,,
wooper,,,0,,,,,,
Quagsire,,,5,,,,,,
Espeon,,,5,,,,,,
Umbreon,,,8,,,,,,
Murkrow,,,8,,,,,,
Slowking,,,12,,,,,,
Misdreavus,,,0,,,,,,
Unown,,,0,,,,,,
wobbuffet,,,0,,,,,,
Girafarig,,,3,,,,,,
Pineco,,,0,,,,,,
Forretress,,,2,,,,,,
Dunsparce,,,3,,,,,,
Gligar,,,3,,,,,,
Steelix,,,2,,,,,,
snubbull,,,0,,,,,,
Granbull,,,4,,,,,,
Qwilfish,,,5,,,,,,
Scizor,,,11,,,,,,
Shuckle,,,1,,,,,,
Heracross,,,3,,,,,,
sneasel,,,6,,,,,,
teddiursa,,,0,,,,,,
Ursaring,,,4,,,,,,
slugma,,,0,,,,,,
Magcargo,,,1,,,,,,
swinub,,,0,,,,,,
Piloswine,,,2,,,,,,
Corsola,,,0,,,,,,
Remoraid,,,0,,,,,,
Octillery,,,0,,,,,,
Delibird,,,0,,,,,,
Mantine,,,6,,,,,,
Skarmory,,,6,,,,,,
Houndour,,,0,,,,,,
Houndoom,,,3,,,,,,
Kingdra,,,15,,,,,,
Phanpy,,,0,,,,,,
Donphan,,,2,,,,,,
Porygon2,,,18,,,,,,
Stantler,,,4,,,,,,
Smeargle,,,11,,,,,,
tyrogue,,,0,,,,,,
Hitmontop,,,15,,,,,,
smoochum,,,0,,,,,,
Elekid,,,0,,,,,,
Magby,,,0,,,,,,
Miltank,,,2,,,,,,
Blissey,,,3,,,,,,
Raikou,,,10,,,,,,
Entei,,,15,,,,,,
Suicune,,,12,,,,,,
Larvitar,,,0,,,,,,
Pupitar,,,0,,,,,,
Tyranitar,,,15,,,,,,
Lugia,,,21,,,,,,
Ho-Oh,,,21,,,,,,
Celebi,,,8,,,,,,
treecko,,,0,,,,,,
Grovyle,,,0,,,,,,
Sceptile,,,4,,,,,,
torchic,,,0,,,,,,
Combusken,,,0,,,,,,
Blaziken,,,12,,,,,,
Mudkip,,,0,,,,,,
Marshtomp,,,0,,,,,,
Swampert,,,8,,,,,,
Poochyena,,,0,,,,,,
Mightyena,,,1,,,,,,
zigzagoon,,,0,,,,,,
Linoone,,,2,,,,,,
wurmple,,,0,,,,,,
Silcoon,,,0,,,,,,
Beautifly,,,0,,,,,,
Cascoon,,,0,,,,,,
Dustox,,,0,,,,,,
Lotad,,,0,,,,,,
Lombre,,,0,,,,,,
Ludicolo,,,14,,,,,,
Seedot,,,0,,,,,,
Nuzleaf,,,0,,,,,,
Shiftry,,,8,,,,,,
taillow,,,0,,,,,,
Swellow,,,4,,,,,,
wingull,,,0,,,,,,
Pelipper,,,18,,,,,,
Ralts,,,0,,,,,,
Kirlia,,,0,,,,,,
Gardevoir,,,6,,,,,,
surskit,,,0,,,,,,
Masquerain,,,1,,,,,,
Shroomish,,,0,,,,,,
Breloom,,,10,,,,,,
slakoth,,,0,,,,,,
vigoroth,,,0,,,,,,
Slaking,,,1,,,,,,
Nincada,,,0,,,,,,
Ninjask,,,1,,,,,,
Shedinja,,,1,,,,,,
whismur,,,0,,,,,,
Loudred,,,0,,,,,,
Exploud,,,3,,,,,,
Makuhita,,,0,,,,,,
Hariyama,,,14,,,,,,
Azurill,,,0,,,,,,
Nosepass,,,0,,,,,,
Skitty,,,0,,,,,,
Delcatty,,,0,,,,,,
Sableye,,,9,,,,,,
Mawile,,,1,,,,,,
Aron,,,0,,,,,,
Lairon,,,0,,,,,,
Aggron,,,3,,,,,,
Meditite,,,0,,,,,,
Medicham,,,6,,,,,,
Electrike,,,0,,,,,,
Manectric,,,3,,,,,,
Plusle,,,1,,,,,,
Minun,,,0,,,,,,
Volbeat,,,6,,,,,,
Illumise,,,6,,,,,,
Roselia,,,0,,,,,,
Gulpin,,,0,,,,,,
Swalot,,,1,,,,,,
Carvanha,,,0,,,,,,
Sharpedo,,,5,,,,,,
wailmer,,,0,,,,,,
Wailord,,,0,,,,,,
Numel,,,0,,,,,,
camerupt,,,2,,,,,,
Torkoal,,,19,,,,,,
spoink,,,0,,,,,,
Grumpig,,,2,,,,,,
Spinda,,,1,,,,,,
trapinch,,,0,,,,,,
vibrava,,,0,,,,,,
Flygon,,,4,,,,,,
Cacnea,,,0,,,,,,
Cacturne,,,1,,,,,,
swablu,,,0,,,,,,
Altaria,,,2,,,,,,
Zangoose,,,3,,,,,,
Seviper,,,1,,,,,,
Lunatone,,,1,,,,,,
Solrock,,,1,,,,,,
Barboach,,,0,,,,,,
Whiscash,,,1,,,,,,
Corphish,,,0,,,,,,
Crawdaunt,,,6,,,,,,
Baltoy,,,0,,,,,,
Claydol,,,1,,,,,,
Lileep,,,0,,,,,,
Cradily,,,7,,,,,,
Anorith,,,0,,,,,,
Armaldo,,,2,,,,,,
Feebas,,,0,,,,,,
Milotic,,,13,,,,,,
Castform,,,0,,,,,,
Kecleon,,,2,,,,,,
Shuppet,,,0,,,,,,
Banette,,,0,,,,,,
Duskull,,,0,,,,,,
Dusclops,,,12,,,,,,
Tropius,,,1,,,,,,
Chimecho,,,0,,,,,,
Absol,,,2,,,,,,
wynaut,,,0,,,,,,
snorunt,,,0,,,,,,
Glalie,,,0,,,,,,
spheal,,,0,,,,,,
Sealeo,,,0,,,,,,
Walrein,,,1,,,,,,
Clamperl,,,0,,,,,,
Huntail,,,3,,,,,,
Gorebyss,,,4,,,,,,
Relicanth,,,1,,,,,,
Luvdisc,,,0,,,,,,
Bagon,,,0,,,,,,
Shelgon,,,0,,,,,,
Salamence,,,11,,,,,,
Beldum,,,0,,,,,,
Metang,,,0,,,,,,
Metagross,,,12,,,,,,
Regirock,,,4,,,,,,
Regice,,,2,,,,,,
Registeel,,,9,,,,,,
Latias,,,14,,,,,,
Latios,,,15,,,,,,
Kyogre,,,21,,,,,,
Groudon,,,20,,,,,,
Rayquaza,,,21,,,,,,
Jirachi,,,21,,,,,,
Deoxys,,,14,,,,,,
turtwig,,,0,,,,,,
Grotle,,,0,,,,,,
Torterra,,,2,,,,,,
Chimchar,,,0,,,,,,
Monferno,,,0,,,,,,
Infernape,,,10,,,,,,
Piplup,,,0,,,,,,
Prinplup,,,0,,,,,,
Empoleon,,,12,,,,,,
starly,,,0,,,,,,
staravia,,,0,,,,,,
staraptor,,,10,,,,,,
Bidoof,,,0,,,,,,
Bibarel,,,1,,,,,,
Kricketot,,,0,,,,,,
Kricketune,,,1,,,,,,
Shinx,,,0,,,,,,
Luxio,,,0,,,,,,
Luxray,,,3,,,,,,
Budew,,,0,,,,,,
Roserade,,,8,,,,,,
Cranidos,,,0,,,,,,
Rampardos,,,3,,,,,,
